"Titre de tracé :  21745240"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 21745240, SEN S/N: 21745240, LBL:  Petite Balme 4)","Coupleur détaché (LGR S/N: 21745240)","Coupleur attaché (LGR S/N: 21745240)","Hôte connecté (LGR S/N: 21745240)","Arrêté (LGR S/N: 21745240)","Fin de fichier (LGR S/N: 21745240)"
60,08/21/24 02:15:14 AM,1.221,,,,,
61,08/21/24 03:15:14 AM,1.221,,,,,
62,08/21/24 04:15:14 AM,1.221,,,,,
63,08/21/24 05:15:14 AM,1.221,,,,,
64,08/21/24 06:15:14 AM,1.221,,,,,
65,08/21/24 07:15:14 AM,1.221,,,,,
66,08/21/24 08:15:14 AM,1.221,,,,,
67,08/21/24 09:15:14 AM,1.221,,,,,
68,08/21/24 10:15:14 AM,1.221,,,,,
69,08/21/24 11:15:14 AM,1.221,,,,,
70,08/21/24 12:15:14 PM,1.221,,,,,
71,08/21/24 01:15:14 PM,1.221,,,,,
72,08/21/24 02:15:14 PM,1.221,,,,,
73,08/21/24 03:15:14 PM,1.221,,,,,
74,08/21/24 04:15:14 PM,1.221,,,,,
75,08/21/24 05:15:14 PM,1.221,,,,,
76,08/21/24 06:15:14 PM,1.221,,,,,
77,08/21/24 07:15:14 PM,1.221,,,,,
78,08/21/24 08:15:14 PM,1.221,,,,,
79,08/21/24 09:15:14 PM,1.221,,,,,
80,08/21/24 10:15:14 PM,1.221,,,,,
81,08/21/24 11:15:14 PM,1.221,,,,,
82,08/22/24 12:15:14 AM,1.221,,,,,
83,08/22/24 01:15:14 AM,1.221,,,,,
84,08/22/24 02:15:14 AM,1.221,,,,,
85,08/22/24 03:15:14 AM,1.221,,,,,
86,08/22/24 04:15:14 AM,1.221,,,,,
87,08/22/24 05:15:14 AM,1.221,,,,,
88,08/22/24 06:15:14 AM,1.221,,,,,
89,08/22/24 07:15:14 AM,1.221,,,,,
90,08/22/24 08:15:14 AM,1.221,,,,,
91,08/22/24 09:15:14 AM,1.221,,,,,
92,08/22/24 10:15:14 AM,1.221,,,,,
93,08/22/24 11:15:14 AM,1.221,,,,,
94,08/22/24 12:15:14 PM,1.221,,,,,
95,08/22/24 01:15:14 PM,1.221,,,,,
96,08/22/24 02:15:14 PM,1.221,,,,,
97,08/22/24 03:15:14 PM,1.221,,,,,
98,08/22/24 04:15:14 PM,1.221,,,,,
99,08/22/24 05:15:14 PM,1.221,,,,,
100,08/22/24 06:15:14 PM,1.221,,,,,
101,08/22/24 07:15:14 PM,1.221,,,,,
102,08/22/24 08:15:14 PM,1.221,,,,,
103,08/22/24 09:15:14 PM,1.221,,,,,
104,08/22/24 10:15:14 PM,1.221,,,,,
105,08/22/24 11:15:14 PM,1.221,,,,,
106,08/23/24 12:15:14 AM,1.221,,,,,
107,08/23/24 01:15:14 AM,1.221,,,,,
108,08/23/24 02:15:14 AM,1.221,,,,,
109,08/23/24 03:15:14 AM,1.221,,,,,
110,08/23/24 04:15:14 AM,1.221,,,,,
111,08/23/24 05:15:14 AM,1.221,,,,,
112,08/23/24 06:15:14 AM,1.221,,,,,
113,08/23/24 07:15:14 AM,1.221,,,,,
114,08/23/24 08:15:14 AM,1.221,,,,,
115,08/23/24 09:15:14 AM,1.221,,,,,
116,08/23/24 10:15:14 AM,1.221,,,,,
117,08/23/24 11:15:14 AM,1.221,,,,,
118,08/23/24 12:15:14 PM,1.221,,,,,
119,08/23/24 01:15:14 PM,1.221,,,,,
120,08/23/24 02:15:14 PM,1.221,,,,,
121,08/23/24 03:15:14 PM,1.221,,,,,
122,08/23/24 04:15:14 PM,1.221,,,,,
123,08/23/24 05:15:14 PM,1.221,,,,,
124,08/23/24 06:15:14 PM,1.221,,,,,
125,08/23/24 07:15:14 PM,1.221,,,,,
126,08/23/24 08:15:14 PM,1.221,,,,,
127,08/23/24 09:15:14 PM,1.221,,,,,
128,08/23/24 10:15:14 PM,1.221,,,,,
129,08/23/24 11:15:14 PM,1.221,,,,,
130,08/24/24 12:15:14 AM,1.221,,,,,
131,08/24/24 01:15:14 AM,1.221,,,,,
132,08/24/24 02:15:14 AM,1.221,,,,,
133,08/24/24 03:15:14 AM,1.221,,,,,
134,08/24/24 04:15:14 AM,1.221,,,,,
135,08/24/24 05:15:14 AM,1.221,,,,,
136,08/24/24 06:15:14 AM,1.221,,,,,
137,08/24/24 07:15:14 AM,1.221,,,,,
138,08/24/24 08:15:14 AM,1.221,,,,,
139,08/24/24 09:15:14 AM,1.221,,,,,
140,08/24/24 10:15:14 AM,1.221,,,,,
141,08/24/24 11:15:14 AM,1.221,,,,,
142,08/24/24 12:15:14 PM,1.221,,,,,
143,08/24/24 01:15:14 PM,1.221,,,,,
144,08/24/24 02:15:14 PM,1.221,,,,,
145,08/24/24 03:15:14 PM,1.221,,,,,
146,08/24/24 04:15:14 PM,1.221,,,,,
147,08/24/24 05:15:14 PM,1.221,,,,,
148,08/24/24 06:15:14 PM,1.221,,,,,
149,08/24/24 07:15:14 PM,1.221,,,,,
150,08/24/24 08:15:14 PM,1.221,,,,,
151,08/24/24 09:15:14 PM,1.221,,,,,
152,08/24/24 10:15:14 PM,1.221,,,,,
153,08/24/24 11:15:14 PM,1.221,,,,,
154,08/25/24 12:15:14 AM,1.221,,,,,
155,08/25/24 01:15:14 AM,1.221,,,,,
156,08/25/24 02:15:14 AM,1.221,,,,,
157,08/25/24 03:15:14 AM,1.221,,,,,
158,08/25/24 04:15:14 AM,1.221,,,,,
159,08/25/24 05:15:14 AM,1.221,,,,,
160,08/25/24 06:15:14 AM,1.221,,,,,
161,08/25/24 07:15:14 AM,1.221,,,,,
162,08/25/24 08:15:14 AM,1.221,,,,,
163,08/25/24 09:15:14 AM,1.221,,,,,
164,08/25/24 10:15:14 AM,1.221,,,,,
165,08/25/24 11:15:14 AM,1.221,,,,,
166,08/25/24 12:15:14 PM,1.221,,,,,
167,08/25/24 01:15:14 PM,1.221,,,,,
168,08/25/24 02:15:14 PM,1.221,,,,,
169,08/25/24 03:15:14 PM,1.221,,,,,
170,08/25/24 04:15:14 PM,1.221,,,,,
171,08/25/24 05:15:14 PM,1.221,,,,,
172,08/25/24 06:15:14 PM,1.221,,,,,
173,08/25/24 07:15:14 PM,1.221,,,,,
174,08/25/24 08:15:14 PM,1.221,,,,,
175,08/25/24 09:15:14 PM,1.221,,,,,
176,08/25/24 10:15:14 PM,1.221,,,,,
177,08/25/24 11:15:14 PM,1.221,,,,,
178,08/26/24 12:15:14 AM,1.221,,,,,
179,08/26/24 01:15:14 AM,1.221,,,,,
180,08/26/24 02:15:14 AM,1.221,,,,,
181,08/26/24 03:15:14 AM,1.221,,,,,
182,08/26/24 04:15:14 AM,1.221,,,,,
183,08/26/24 05:15:14 AM,1.221,,,,,
184,08/26/24 06:15:14 AM,1.221,,,,,
185,08/26/24 07:15:14 AM,1.221,,,,,
186,08/26/24 08:15:14 AM,1.221,,,,,
187,08/26/24 09:15:14 AM,1.221,,,,,
188,08/26/24 10:15:14 AM,1.221,,,,,
189,08/26/24 11:15:14 AM,1.221,,,,,
190,08/26/24 12:15:14 PM,1.221,,,,,
191,08/26/24 01:15:14 PM,1.221,,,,,
192,08/26/24 02:15:14 PM,1.221,,,,,
193,08/26/24 03:15:14 PM,1.221,,,,,
194,08/26/24 04:15:14 PM,1.221,,,,,
195,08/26/24 05:15:14 PM,1.221,,,,,
196,08/26/24 06:15:14 PM,1.221,,,,,
197,08/26/24 07:15:14 PM,1.221,,,,,
198,08/26/24 08:15:14 PM,1.221,,,,,
199,08/26/24 09:15:14 PM,1.221,,,,,
200,08/26/24 10:15:14 PM,1.221,,,,,
201,08/26/24 11:15:14 PM,1.221,,,,,
202,08/27/24 12:15:14 AM,1.221,,,,,
203,08/27/24 01:15:14 AM,1.221,,,,,
204,08/27/24 02:15:14 AM,1.221,,,,,
205,08/27/24 03:15:14 AM,1.221,,,,,
206,08/27/24 04:15:14 AM,1.221,,,,,
207,08/27/24 05:15:14 AM,1.221,,,,,
208,08/27/24 06:15:14 AM,1.221,,,,,
209,08/27/24 07:15:14 AM,1.221,,,,,
210,08/27/24 08:15:14 AM,1.221,,,,,
211,08/27/24 09:15:14 AM,1.221,,,,,
212,08/27/24 10:15:14 AM,1.221,,,,,
213,08/27/24 11:15:14 AM,1.221,,,,,
214,08/27/24 12:15:14 PM,1.221,,,,,
215,08/27/24 01:15:14 PM,1.221,,,,,
216,08/27/24 02:15:14 PM,1.221,,,,,
217,08/27/24 03:15:14 PM,1.221,,,,,
218,08/27/24 04:15:14 PM,1.221,,,,,
219,08/27/24 05:15:14 PM,1.221,,,,,
220,08/27/24 06:15:14 PM,1.221,,,,,
221,08/27/24 07:15:14 PM,1.221,,,,,
222,08/27/24 08:15:14 PM,1.221,,,,,
223,08/27/24 09:15:14 PM,1.221,,,,,
224,08/27/24 10:15:14 PM,1.221,,,,,
225,08/27/24 11:15:14 PM,1.221,,,,,
226,08/28/24 12:15:14 AM,1.221,,,,,
227,08/28/24 01:15:14 AM,1.221,,,,,
228,08/28/24 02:15:14 AM,1.221,,,,,
229,08/28/24 03:15:14 AM,1.221,,,,,
230,08/28/24 04:15:14 AM,1.221,,,,,
231,08/28/24 05:15:14 AM,1.221,,,,,
232,08/28/24 06:15:14 AM,1.221,,,,,
233,08/28/24 07:15:14 AM,1.221,,,,,
234,08/28/24 08:15:14 AM,1.221,,,,,
235,08/28/24 09:15:14 AM,1.221,,,,,
236,08/28/24 10:15:14 AM,1.221,,,,,
237,08/28/24 11:15:14 AM,1.221,,,,,
238,08/28/24 12:15:14 PM,1.221,,,,,
239,08/28/24 01:15:14 PM,1.221,,,,,
240,08/28/24 02:15:14 PM,1.221,,,,,
241,08/28/24 03:15:14 PM,1.221,,,,,
242,08/28/24 04:15:14 PM,1.221,,,,,
243,08/28/24 05:15:14 PM,1.221,,,,,
244,08/28/24 06:15:14 PM,1.221,,,,,
245,08/28/24 07:15:14 PM,1.221,,,,,
246,08/28/24 08:15:14 PM,1.221,,,,,
247,08/28/24 09:15:14 PM,1.221,,,,,
248,08/28/24 10:15:14 PM,1.221,,,,,
249,08/28/24 11:15:14 PM,1.221,,,,,
250,08/29/24 12:15:14 AM,1.221,,,,,
251,08/29/24 01:15:14 AM,1.221,,,,,
252,08/29/24 02:15:14 AM,1.221,,,,,
253,08/29/24 03:15:14 AM,1.221,,,,,
254,08/29/24 04:15:14 AM,1.221,,,,,
255,08/29/24 05:15:14 AM,1.221,,,,,
256,08/29/24 06:15:14 AM,1.221,,,,,
257,08/29/24 07:15:14 AM,1.221,,,,,
258,08/29/24 08:15:14 AM,1.221,,,,,
259,08/29/24 09:15:14 AM,1.221,,,,,
260,08/29/24 10:15:14 AM,1.221,,,,,
261,08/29/24 11:15:14 AM,1.221,,,,,
262,08/29/24 12:15:14 PM,1.221,,,,,
263,08/29/24 01:15:14 PM,1.221,,,,,
264,08/29/24 02:15:14 PM,1.221,,,,,
265,08/29/24 03:15:14 PM,1.221,,,,,
266,08/29/24 04:15:14 PM,1.221,,,,,
267,08/29/24 05:15:14 PM,1.221,,,,,
268,08/29/24 06:15:14 PM,1.221,,,,,
269,08/29/24 07:15:14 PM,1.221,,,,,
270,08/29/24 08:15:14 PM,1.221,,,,,
271,08/29/24 09:15:14 PM,1.221,,,,,
272,08/29/24 10:15:14 PM,1.221,,,,,
273,08/29/24 11:15:14 PM,1.221,,,,,
274,08/30/24 12:15:14 AM,1.221,,,,,
275,08/30/24 01:15:14 AM,1.221,,,,,
276,08/30/24 02:15:14 AM,1.221,,,,,
277,08/30/24 03:15:14 AM,1.221,,,,,
278,08/30/24 04:15:14 AM,1.221,,,,,
279,08/30/24 05:15:14 AM,1.221,,,,,
280,08/30/24 06:15:14 AM,1.221,,,,,
281,08/30/24 07:15:14 AM,1.221,,,,,
282,08/30/24 08:15:14 AM,1.221,,,,,
283,08/30/24 09:15:14 AM,1.221,,,,,
284,08/30/24 10:15:14 AM,1.221,,,,,
285,08/30/24 11:15:14 AM,1.221,,,,,
286,08/30/24 12:15:14 PM,1.221,,,,,
287,08/30/24 01:15:14 PM,1.221,,,,,
288,08/30/24 02:15:14 PM,1.221,,,,,
289,08/30/24 03:15:14 PM,1.221,,,,,
290,08/30/24 04:15:14 PM,1.221,,,,,
291,08/30/24 05:15:14 PM,1.221,,,,,
292,08/30/24 06:15:14 PM,1.221,,,,,
293,08/30/24 07:15:14 PM,1.221,,,,,
294,08/30/24 08:15:14 PM,1.221,,,,,
295,08/30/24 09:15:14 PM,1.221,,,,,
296,08/30/24 10:15:14 PM,1.221,,,,,
297,08/30/24 11:15:14 PM,1.221,,,,,
298,08/31/24 12:15:14 AM,1.221,,,,,
299,08/31/24 01:15:14 AM,1.221,,,,,
300,08/31/24 02:15:14 AM,1.221,,,,,
301,08/31/24 03:15:14 AM,1.221,,,,,
302,08/31/24 04:15:14 AM,1.221,,,,,
303,08/31/24 05:15:14 AM,1.221,,,,,
304,08/31/24 06:15:14 AM,1.221,,,,,
305,08/31/24 07:15:14 AM,1.221,,,,,
306,08/31/24 08:15:14 AM,1.221,,,,,
307,08/31/24 09:15:14 AM,1.221,,,,,
308,08/31/24 10:15:14 AM,1.221,,,,,
309,08/31/24 11:15:14 AM,1.221,,,,,
310,08/31/24 12:15:14 PM,1.221,,,,,
311,08/31/24 01:15:14 PM,1.221,,,,,
312,08/31/24 02:15:14 PM,1.221,,,,,
313,08/31/24 03:15:14 PM,1.221,,,,,
314,08/31/24 04:15:14 PM,1.221,,,,,
315,08/31/24 05:15:14 PM,1.221,,,,,
316,08/31/24 06:15:14 PM,1.221,,,,,
317,08/31/24 07:15:14 PM,1.221,,,,,
318,08/31/24 08:15:14 PM,1.221,,,,,
319,08/31/24 09:15:14 PM,1.221,,,,,
320,08/31/24 10:15:14 PM,1.221,,,,,
321,08/31/24 11:15:14 PM,1.221,,,,,
322,09/01/24 12:15:14 AM,1.221,,,,,
323,09/01/24 01:15:14 AM,1.221,,,,,
324,09/01/24 02:15:14 AM,1.221,,,,,
325,09/01/24 03:15:14 AM,1.221,,,,,
326,09/01/24 04:15:14 AM,1.221,,,,,
327,09/01/24 05:15:14 AM,1.221,,,,,
328,09/01/24 06:15:14 AM,1.221,,,,,
329,09/01/24 07:15:14 AM,1.221,,,,,
330,09/01/24 08:15:14 AM,1.221,,,,,
331,09/01/24 09:15:14 AM,1.221,,,,,
332,09/01/24 10:15:14 AM,1.221,,,,,
333,09/01/24 11:15:14 AM,1.221,,,,,
334,09/01/24 12:15:14 PM,1.221,,,,,
335,09/01/24 01:15:14 PM,1.221,,,,,
336,09/01/24 02:15:14 PM,1.221,,,,,
337,09/01/24 03:15:14 PM,1.221,,,,,
338,09/01/24 04:15:14 PM,1.221,,,,,
339,09/01/24 05:15:14 PM,1.221,,,,,
340,09/01/24 06:15:14 PM,1.221,,,,,
341,09/01/24 07:15:14 PM,1.221,,,,,
342,09/01/24 08:15:14 PM,1.221,,,,,
343,09/01/24 09:15:14 PM,1.221,,,,,
344,09/01/24 10:15:14 PM,1.221,,,,,
345,09/01/24 11:15:14 PM,1.221,,,,,
346,09/02/24 12:15:14 AM,1.221,,,,,
347,09/02/24 01:15:14 AM,1.221,,,,,
348,09/02/24 02:15:14 AM,1.221,,,,,
349,09/02/24 03:15:14 AM,1.221,,,,,
350,09/02/24 04:15:14 AM,1.221,,,,,
351,09/02/24 05:15:14 AM,1.221,,,,,
352,09/02/24 06:15:14 AM,1.221,,,,,
353,09/02/24 07:15:14 AM,1.221,,,,,
354,09/02/24 08:15:14 AM,1.221,,,,,
355,09/02/24 09:15:14 AM,1.221,,,,,
356,09/02/24 10:15:14 AM,1.221,,,,,
357,09/02/24 11:15:14 AM,1.221,,,,,
358,09/02/24 12:15:14 PM,1.221,,,,,
359,09/02/24 01:15:14 PM,1.221,,,,,
360,09/02/24 02:15:14 PM,1.221,,,,,
361,09/02/24 03:15:14 PM,1.221,,,,,
362,09/02/24 04:15:14 PM,1.221,,,,,
363,09/02/24 05:15:14 PM,1.221,,,,,
364,09/02/24 06:15:14 PM,1.221,,,,,
365,09/02/24 07:15:14 PM,1.221,,,,,
366,09/02/24 08:15:14 PM,1.221,,,,,
367,09/02/24 09:15:14 PM,1.221,,,,,
368,09/02/24 10:15:14 PM,1.221,,,,,
369,09/02/24 11:15:14 PM,1.221,,,,,
370,09/03/24 12:15:14 AM,1.221,,,,,
371,09/03/24 01:15:14 AM,1.221,,,,,
372,09/03/24 02:15:14 AM,1.221,,,,,
373,09/03/24 03:15:14 AM,1.221,,,,,
374,09/03/24 04:15:14 AM,1.221,,,,,
375,09/03/24 05:15:14 AM,1.221,,,,,
376,09/03/24 06:15:14 AM,1.221,,,,,
377,09/03/24 07:15:14 AM,1.221,,,,,
378,09/03/24 08:15:14 AM,1.221,,,,,
379,09/03/24 09:15:14 AM,1.221,,,,,
380,09/03/24 10:15:14 AM,1.221,,,,,
381,09/03/24 11:15:14 AM,1.221,,,,,
382,09/03/24 12:15:14 PM,1.221,,,,,
383,09/03/24 01:15:14 PM,1.221,,,,,
384,09/03/24 02:15:14 PM,1.221,,,,,
385,09/03/24 03:15:14 PM,1.221,,,,,
386,09/03/24 04:15:14 PM,1.221,,,,,
387,09/03/24 05:15:14 PM,1.221,,,,,
388,09/03/24 06:15:14 PM,1.221,,,,,
389,09/03/24 07:15:14 PM,1.221,,,,,
390,09/03/24 08:15:14 PM,1.221,,,,,
391,09/03/24 09:15:14 PM,1.221,,,,,
392,09/03/24 10:15:14 PM,1.221,,,,,
393,09/03/24 11:15:14 PM,1.221,,,,,
394,09/04/24 12:15:14 AM,1.221,,,,,
395,09/04/24 01:15:14 AM,1.221,,,,,
396,09/04/24 02:15:14 AM,1.221,,,,,
397,09/04/24 03:15:14 AM,1.221,,,,,
398,09/04/24 04:15:14 AM,1.221,,,,,
399,09/04/24 05:15:14 AM,1.221,,,,,
400,09/04/24 06:15:14 AM,1.221,,,,,
401,09/04/24 07:15:14 AM,1.221,,,,,
402,09/04/24 08:15:14 AM,1.221,,,,,
403,09/04/24 09:15:14 AM,1.221,,,,,
404,09/04/24 10:15:14 AM,1.221,,,,,
405,09/04/24 11:15:14 AM,1.221,,,,,
406,09/04/24 12:15:14 PM,1.221,,,,,
407,09/04/24 01:15:14 PM,1.221,,,,,
408,09/04/24 02:15:14 PM,1.221,,,,,
409,09/04/24 03:15:14 PM,1.221,,,,,
410,09/04/24 04:15:14 PM,1.221,,,,,
411,09/04/24 05:15:14 PM,1.221,,,,,
412,09/04/24 06:15:14 PM,1.221,,,,,
413,09/04/24 07:15:14 PM,1.221,,,,,
414,09/04/24 08:15:14 PM,1.221,,,,,
415,09/04/24 09:15:14 PM,1.221,,,,,
416,09/04/24 10:15:14 PM,1.112,,,,,
417,09/04/24 11:15:14 PM,1.221,,,,,
418,09/05/24 12:15:14 AM,1.112,,,,,
419,09/05/24 01:15:14 AM,1.221,,,,,
420,09/05/24 02:15:14 AM,1.221,,,,,
421,09/05/24 03:15:14 AM,1.221,,,,,
422,09/05/24 04:15:14 AM,1.221,,,,,
423,09/05/24 05:15:14 AM,1.330,,,,,
424,09/05/24 06:15:14 AM,1.439,,,,,
425,09/05/24 07:15:14 AM,1.439,,,,,
426,09/05/24 08:15:14 AM,1.439,,,,,
427,09/05/24 09:15:14 AM,1.439,,,,,
428,09/05/24 10:15:14 AM,1.330,,,,,
429,09/05/24 11:15:14 AM,1.330,,,,,
430,09/05/24 12:15:14 PM,1.330,,,,,
431,09/05/24 01:15:14 PM,1.439,,,,,
432,09/05/24 02:15:14 PM,1.330,,,,,
433,09/05/24 03:15:14 PM,1.330,,,,,
434,09/05/24 04:15:14 PM,1.330,,,,,
435,09/05/24 05:15:14 PM,1.330,,,,,
436,09/05/24 06:15:14 PM,1.330,,,,,
437,09/05/24 07:15:14 PM,1.330,,,,,
438,09/05/24 08:15:14 PM,1.330,,,,,
439,09/05/24 09:15:14 PM,1.330,,,,,
440,09/05/24 10:15:14 PM,1.221,,,,,
441,09/05/24 11:15:14 PM,1.221,,,,,
442,09/06/24 12:15:14 AM,1.221,,,,,
443,09/06/24 01:15:14 AM,1.221,,,,,
444,09/06/24 02:15:14 AM,1.221,,,,,
445,09/06/24 03:15:14 AM,1.221,,,,,
446,09/06/24 04:15:14 AM,1.221,,,,,
447,09/06/24 05:15:14 AM,1.221,,,,,
448,09/06/24 06:15:14 AM,1.221,,,,,
449,09/06/24 07:15:14 AM,1.221,,,,,
450,09/06/24 08:15:14 AM,1.221,,,,,
451,09/06/24 09:15:14 AM,1.221,,,,,
452,09/06/24 10:15:14 AM,1.221,,,,,
453,09/06/24 11:15:14 AM,1.221,,,,,
454,09/06/24 12:15:14 PM,1.221,,,,,
455,09/06/24 01:15:14 PM,1.221,,,,,
456,09/06/24 02:15:14 PM,1.221,,,,,
457,09/06/24 03:15:14 PM,1.221,,,,,
458,09/06/24 04:15:14 PM,1.221,,,,,
459,09/06/24 05:15:14 PM,1.221,,,,,
460,09/06/24 06:15:14 PM,1.221,,,,,
461,09/06/24 07:15:14 PM,1.221,,,,,
462,09/06/24 08:15:14 PM,1.221,,,,,
463,09/06/24 09:15:14 PM,1.221,,,,,
464,09/06/24 10:15:14 PM,1.221,,,,,
465,09/06/24 11:15:14 PM,1.221,,,,,
466,09/07/24 12:15:14 AM,1.221,,,,,
467,09/07/24 01:15:14 AM,1.221,,,,,
468,09/07/24 02:15:14 AM,1.221,,,,,
469,09/07/24 03:15:14 AM,1.221,,,,,
470,09/07/24 04:15:14 AM,1.221,,,,,
471,09/07/24 05:15:14 AM,1.221,,,,,
472,09/07/24 06:15:14 AM,1.221,,,,,
473,09/07/24 07:15:14 AM,1.221,,,,,
474,09/07/24 08:15:14 AM,1.221,,,,,
475,09/07/24 09:15:14 AM,1.221,,,,,
476,09/07/24 10:15:14 AM,1.221,,,,,
477,09/07/24 11:15:14 AM,1.221,,,,,
478,09/07/24 12:15:14 PM,1.221,,,,,
479,09/07/24 01:15:14 PM,1.221,,,,,
480,09/07/24 02:15:14 PM,1.221,,,,,
481,09/07/24 03:15:14 PM,1.221,,,,,
482,09/07/24 04:15:14 PM,1.221,,,,,
483,09/07/24 05:15:14 PM,1.221,,,,,
484,09/07/24 06:15:14 PM,1.221,,,,,
485,09/07/24 07:15:14 PM,1.221,,,,,
486,09/07/24 08:15:14 PM,1.221,,,,,
487,09/07/24 09:15:14 PM,1.221,,,,,
488,09/07/24 10:15:14 PM,1.221,,,,,
489,09/07/24 11:15:14 PM,1.221,,,,,
490,09/08/24 12:15:14 AM,1.221,,,,,
491,09/08/24 01:15:14 AM,1.221,,,,,
492,09/08/24 02:15:14 AM,1.221,,,,,
493,09/08/24 03:15:14 AM,1.221,,,,,
494,09/08/24 04:15:14 AM,1.221,,,,,
495,09/08/24 05:15:14 AM,1.221,,,,,
496,09/08/24 06:15:14 AM,1.221,,,,,
497,09/08/24 07:15:14 AM,1.221,,,,,
498,09/08/24 08:15:14 AM,1.221,,,,,
499,09/08/24 09:15:14 AM,1.221,,,,,
500,09/08/24 10:15:14 AM,1.221,,,,,
501,09/08/24 11:15:14 AM,1.221,,,,,
502,09/08/24 12:15:14 PM,1.221,,,,,
503,09/08/24 01:15:14 PM,1.221,,,,,
504,09/08/24 02:15:14 PM,1.221,,,,,
505,09/08/24 03:15:14 PM,1.221,,,,,
506,09/08/24 04:15:14 PM,1.221,,,,,
507,09/08/24 05:15:14 PM,1.221,,,,,
508,09/08/24 06:15:14 PM,1.221,,,,,
509,09/08/24 07:15:14 PM,1.221,,,,,
510,09/08/24 08:15:14 PM,1.221,,,,,
511,09/08/24 09:15:14 PM,1.221,,,,,
512,09/08/24 10:15:14 PM,1.221,,,,,
513,09/08/24 11:15:14 PM,1.330,,,,,
514,09/09/24 12:15:14 AM,1.330,,,,,
515,09/09/24 01:15:14 AM,1.330,,,,,
516,09/09/24 02:15:14 AM,1.330,,,,,
517,09/09/24 03:15:14 AM,1.330,,,,,
518,09/09/24 04:15:14 AM,1.330,,,,,
519,09/09/24 05:15:14 AM,1.330,,,,,
520,09/09/24 06:15:14 AM,1.330,,,,,
521,09/09/24 07:15:14 AM,1.221,,,,,
522,09/09/24 08:15:14 AM,1.221,,,,,
523,09/09/24 09:15:14 AM,1.221,,,,,
524,09/09/24 10:15:14 AM,1.221,,,,,
